type,raid_group_name,member_name,character_name,character_class,character_is_alt,character_inactive_at,character_note,sort_order,item_name,item_id,is_offspec,note,received_at,import_id,item_note,item_prio_note,item_tier,item_tier_label,created_at,updated_at
received,,,Dunethir,"Death Knight",0,,,0,"Riveted Abomination Leggings",40294,0,,"2022-11-10 00:00:00",166811199040294-Dune,,,,,,"2022-11-10 22:24:03",
received,,,Dunethir,"Death Knight",0,,,0,"Mantle of the Lost Vanquisher",40639,0,,"2022-11-10 00:00:00",166811273040639-Dune,,,,,,"2022-11-10 22:24:03",
received,,,Dunethir,"Death Knight",0,,,0,"Silent Crusader",40407,0,,"2022-11-10 00:00:00",166811298040407-Dune,,,,,,"2022-11-10 22:24:03",
received,,,Dunethir,"Death Knight",0,,,0,"Silent Crusader",40407,0,,"2022-11-10 00:00:00",166811637240407-Dune,,,,,,"2022-11-10 22:24:03",
received,"Main raid",chuu,Asarä,Druid,0,,,0,"Gloves of Fast Reactions",40362,0,,"2022-10-11 00:00:00",166551653140362-Asar,,,,,,"2022-10-21 08:21:13",
received,"Main raid",chuu,Asarä,Druid,0,,,0,"Infectious Skitterer Leggings",39761,0,,"2022-10-13 00:00:00",166569081639761-Asar,,,,,,"2022-10-21 08:22:05",
received,"Main raid",chuu,Asarä,Druid,0,,,0,"Mantle of the Eternal Sentinel",40439,0,,"2022-10-13 00:00:00",166569499340439-Asar,,,,,,"2022-10-21 08:22:05",
received,"Main raid",chuu,Asarä,Druid,0,,,0,"Crown of the Lost Vanquisher",40633,0,,"2022-10-13 00:00:00",166569513040633-Asar,,,,,,"2022-10-21 08:22:05",
received,"Main raid",chuu,Asarä,Druid,0,,,0,"Tunic of Indulgence",40277,0,,"2022-10-20 00:00:00",166629373540277-Asar,,,,,,"2022-10-21 08:22:41",
received,"Main raid",chuu,Asarä,Druid,0,,,0,"Aged Winter Cloak",40250,0,,"2022-11-03 00:00:00",166750564440250-Asar,,,,,,"2022-11-03 22:46:29",
received,"Main raid",chuu,Asarä,Druid,0,,,0,"Leggings of the Honored",44011,0,,"2022-11-03 00:00:00",166751212344011-Asar,,,,,,"2022-11-03 22:46:29",
received,"Main raid",chuu,Asarä,Druid,0,,,0,"Cryptfiend's Bite",40208,0,,"2022-11-10 00:00:00",166811295740208-Asar,,,,,,"2022-11-10 22:24:03",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,"Strong-Handed Ring",40074,0,,"2023-01-19 20:46:00",1674155470-12-Beanbe,,,,,,"2023-01-19 20:46:00",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,"Spinning Fate",40190,0,,"2023-01-19 20:46:00",1674156561-28-Beanbe,,,,,,"2023-01-19 20:46:00",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,"Dragon Hide Bag",43345,0,,"2023-01-19 20:46:00",1674159694-69-Beanbe,,,,,,"2023-01-19 20:46:00",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,"Gauntlets of the Lost Vanquisher",40630,0,,"2023-01-19 20:46:00",1674159986-75-Beanbe,,,,,,"2023-01-19 20:46:00",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,"Nymph Heart Charm",45480,0,,"2023-01-22 00:00:00",1674424012-35-Beanbe,,,,3,,"2023-01-24 08:44:19",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,"Mechanist's Bindings",45108,0,,"2023-01-26 00:00:00",1674760953-0-Beanbea,,,,3,,"2023-01-26 22:08:29",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,"Shoulderpads of the Monolith",45265,0,,"2023-01-26 00:00:00",1674763420-17-Beanbe,,,,3,,"2023-01-26 22:08:29",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,"Legplates of the Wayward Vanquisher",45655,0,,"2023-01-26 00:00:00",1674765753-31-Beanbe,,,,2,,"2023-01-26 22:08:29",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,"Insanity's Grip",45489,0,,"2023-01-26 00:00:00",1674766794-35-Beanbe,,,,3,,"2023-01-26 22:08:29",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,"Gloves of the Stonereaper",45325,0,,"2023-01-26 00:00:00",1674766994-36-Beanbe,,,,3,,"2023-01-26 22:08:29",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,"Gauntlets of the Wayward Vanquisher",45643,0,,"2023-02-09 00:00:00",1675980442-33-Beanbe,,,,3,,"2023-02-09 22:29:06",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,"Mantle of the Wayward Vanquisher",45658,0,,"2023-02-19 00:00:00",1676844474-15-Beanbe,,,,3,,"2023-02-19 22:18:38",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,"Super Simian Sphere",37254,0,,"2023-02-26 00:00:00",1677439372-4-Beanbea,,,,,,"2023-02-26 21:48:33",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,"Daschal's Bite",45605,1,,"2023-03-02 00:00:00",1677792886-20-Beanbe,,,,3,,"2023-03-02 22:25:29",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,"Metallic Loop of the Sufferer",45503,0,,"2023-03-12 00:00:00",,,,,3,,"2023-03-12 21:12:59",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,Bladetwister,45484,0,,"2023-03-23 00:00:00",1679606484-45-Beanbe,,,,2,,"2023-03-23 21:58:59",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,"Archivum Data Disc",45857,0,,"2023-03-30 00:00:00",1680202494-25-Beanbe,,,,,,"2023-03-30 20:49:41",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,Remorse,45142,1,,"2023-04-13 00:00:00",1681411910-8-Beanbea,,,,3,,"2023-04-13 21:13:55",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,"Fang of Oblivion",45607,1,,"2023-04-13 00:00:00",1681413819-17-Beanbe,,,,3,,"2023-04-13 21:13:55",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,"Reply-Code Alpha",46053,0,,"2023-04-16 00:00:00",1681669641-1-Beanbea,,,,1,,"2023-04-16 19:01:56",
